YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1946,-1.75,0.25,2.95,10.45,14.95,20.15,25.35,26.95,20.55,15.05,9.95,-2.76,-0.62,9.45,24.15,15.18,12.04
1947,-3.06,-4.46,1.74,10.14,14.64,17.84,22.54,25.04,20.14,12.84,4.44,-4.47,-3.43,8.84,21.81,12.47,9.92
1948,-3.37,-0.47,4.53,11.93,15.53,20.43,24.13,26.03,20.63,14.23,6.33,4.62,-2.77,10.66,23.53,13.73,11.29
1949,-1.59,2.10,4.17,10.45,16.35,20.65,25.76,27.13,22.24,15.74,8.55,-0.27,1.71,10.32,24.51,15.51,13.01
1950,-0.65,0.33,5.28,13.37,17.70,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-0.20,12.12,999.90,999.90,999.90
1951,-3.69,-1.29,3.31,9.91,16.21,20.31,24.31,26.51,19.31,14.81,6.61,1.80,-1.88,9.81,23.71,13.58,11.30
1952,-2.24,-2.59,3.41,10.68,18.15,20.75,25.32,25.06,20.46,13.99,8.55,-1.42,-1.01,10.75,23.71,14.33,11.95
1953,-4.22,-2.21,4.94,9.89,16.38,20.03,24.53,25.51,21.42,16.43,5.90,1.25,-2.62,10.40,23.36,14.58,11.43
1954,-1.07,0.82,3.40,11.53,16.43,19.61,22.07,25.90,20.94,13.60,10.19,-1.67,0.33,10.45,22.53,14.91,12.06
1955,-4.63,0.28,4.35,10.55,15.71,20.78,24.58,26.77,21.49,13.89,7.06,1.84,-2.01,10.20,24.04,14.15,11.60
1956,-2.97,-2.47,3.93,9.42,15.16,19.37,23.94,25.13,21.22,13.94,4.30,-4.26,-1.20,9.50,22.81,13.15,11.07
1957,-2.82,-3.65,0.45,10.25,16.21,19.66,22.22,24.31,19.59,13.47,9.40,0.42,-3.58,8.97,22.06,14.15,10.40
1958,-5.03,-0.22,3.77,10.71,16.08,21.75,25.46,24.39,20.38,13.81,7.48,4.90,-1.61,10.19,23.87,13.89,11.58
1959,-4.25,2.58,6.29,10.50,17.59,20.31,24.31,26.21,21.47,16.00,6.51,1.50,1.08,11.46,23.61,14.66,12.70
1960,-2.89,1.71,6.32,10.32,15.89,20.20,24.45,26.39,21.23,15.79,7.87,-1.13,0.11,10.84,23.68,14.96,12.40
1961,-4.67,-0.55,5.24,10.76,16.48,20.96,25.57,26.68,21.51,15.95,9.42,0.25,-2.12,10.83,24.40,15.63,12.19
1962,-2.30,-0.08,3.40,9.24,16.18,20.31,25.48,25.19,20.56,14.49,6.95,2.09,-0.71,9.61,23.66,14.00,11.64
1963,-7.36,-1.59,5.24,10.80,15.97,20.61,23.97,25.88,21.17,14.20,7.55,1.98,-2.29,10.67,23.49,14.31,11.54
1964,0.36,-3.09,3.99,13.16,17.44,20.82,24.24,26.28,20.62,14.41,7.14,1.17,-0.25,11.53,23.78,14.06,12.28
1965,-3.59,-0.86,2.78,9.74,16.04,20.93,23.65,24.40,21.39,15.52,7.49,-1.11,-1.09,9.52,22.99,14.80,11.55
1966,-3.97,-0.02,4.69,10.74,17.05,19.73,22.97,26.34,19.62,14.94,6.92,-2.31,-1.70,10.83,23.01,13.83,11.49
1967,-4.01,-2.27,4.60,10.73,17.87,20.90,25.35,27.00,21.02,14.85,6.98,-3.96,-2.86,11.07,24.42,14.28,11.73
1968,-3.52,-4.23,4.15,11.44,15.95,19.92,24.01,24.95,20.96,13.66,8.04,3.70,-3.90,10.51,22.96,14.22,10.95
1969,-3.33,-2.93,2.78,9.85,15.24,19.09,23.23,24.84,21.05,14.04,5.84,-1.35,-0.85,9.29,22.39,13.64,11.12
1970,-3.98,-0.19,0.39,10.96,17.38,19.58,22.54,25.49,21.28,15.28,6.28,-0.48,-1.84,9.58,22.54,14.28,11.14
1971,-2.00,-0.55,2.21,10.28,15.50,20.46,23.34,24.62,20.80,13.68,9.56,-0.43,-1.01,9.33,22.81,14.68,11.45
1972,0.92,-0.46,5.22,10.55,15.47,20.27,24.53,22.81,19.38,14.28,5.81,1.03,0.01,10.41,22.54,13.16,11.53
1973,0.60,0.54,4.26,11.44,16.40,20.77,26.07,25.93,20.68,13.44,5.61,-2.07,0.72,10.70,24.26,13.24,12.23
1974,-1.97,-2.00,3.42,9.73,15.56,18.62,23.11,24.56,20.89,12.89,5.80,-0.14,-2.01,9.57,22.10,13.19,10.71
1975,-2.27,-0.73,4.15,12.32,15.88,20.56,24.29,26.65,22.76,15.87,9.54,-0.66,-1.05,10.78,23.83,16.06,12.41
1976,-3.30,2.66,4.58,10.30,15.68,20.18,22.55,23.58,20.20,14.31,4.37,1.01,-0.43,10.19,22.10,12.96,11.20
1977,-6.11,-2.25,4.75,11.22,16.13,21.20,25.19,24.18,21.36,17.13,8.13,2.81,-2.45,10.70,23.52,15.54,11.83
1978,-1.67,-2.09,4.06,10.65,17.12,20.94,25.81,25.84,21.22,14.76,8.43,2.26,-0.32,10.61,24.20,14.80,12.32
1979,1.24,0.96,6.08,10.74,15.99,20.88,24.12,25.36,19.97,16.13,6.45,2.19,1.49,10.94,23.45,14.18,12.52
1980,-3.26,-2.76,5.12,9.61,15.38,20.42,22.42,22.85,19.57,13.23,8.85,-3.04,-1.28,10.04,21.90,13.88,11.14
1981,-6.23,-1.40,5.31,10.78,14.79,20.76,24.87,24.40,19.92,13.53,3.77,0.50,-3.56,10.29,23.34,12.41,10.62
1982,-3.25,0.49,5.28,11.16,16.86,21.03,24.67,25.32,20.66,16.16,8.34,0.57,-0.75,11.10,23.67,15.05,12.27
1983,-1.42,-1.73,5.94,12.36,17.22,21.15,23.08,25.68,22.00,14.39,7.30,-0.85,-0.86,11.84,23.30,14.56,12.21
1984,-5.08,-3.19,2.24,10.96,16.75,21.57,24.39,26.25,20.45,14.41,8.57,-0.42,-3.04,9.98,24.07,14.48,11.37
1985,-5.30,-0.12,3.88,10.73,17.17,21.39,24.51,26.40,20.34,15.13,6.33,-3.10,-1.95,10.59,24.10,13.93,11.67
1986,-4.93,-3.09,4.81,10.99,15.89,20.86,23.10,24.29,20.03,13.06,5.70,2.09,-3.71,10.56,22.75,12.93,10.63
1987,-2.88,-0.39,3.43,9.75,15.78,21.18,23.00,24.17,20.04,15.54,7.59,1.30,-0.39,9.65,22.78,14.39,11.61
1988,-1.81,-1.30,3.76,10.37,16.83,21.27,24.06,25.99,21.40,15.07,6.28,0.56,-0.60,10.32,23.77,14.25,11.94
1989,0.53,2.44,5.54,13.01,16.66,20.46,24.18,25.25,20.60,13.85,7.57,1.59,1.18,11.74,23.30,14.01,12.55
1990,-3.14,2.08,6.65,10.61,15.36,19.82,24.32,26.03,20.93,15.56,9.93,1.15,0.18,10.87,23.39,15.47,12.48
1991,-2.39,-0.82,4.33,12.13,16.46,21.18,23.82,24.79,20.85,14.24,6.49,2.19,-0.69,10.97,23.26,13.86,11.85
1992,-0.23,0.69,6.85,11.15,15.35,19.59,24.07,24.72,20.58,14.23,6.73,1.50,0.88,11.12,22.79,13.85,12.16
1993,-2.16,0.71,5.30,9.51,16.90,20.23,22.74,23.08,21.12,13.50,8.60,0.08,0.02,10.57,22.02,14.41,11.75
1994,-1.10,0.50,3.65,13.83,16.85,21.34,27.50,27.36,20.98,15.62,9.09,1.07,-0.17,11.44,25.40,15.23,12.98
1995,-1.91,0.99,5.38,10.28,15.78,20.84,23.89,26.01,20.19,15.46,6.83,-0.54,0.05,10.48,23.58,14.16,12.07
1996,-1.94,-1.62,4.30,8.99,16.50,21.16,23.87,26.01,21.83,14.65,6.43,1.81,-1.37,9.93,23.68,14.30,11.64
1997,-3.12,0.12,6.03,11.67,16.17,22.26,25.37,26.56,20.26,13.46,8.73,1.73,-0.40,11.29,24.73,14.15,12.44
1998,-1.06,2.89,6.63,14.30,17.94,20.91,24.42,25.33,23.03,17.29,7.59,2.39,1.19,12.96,23.55,15.97,13.42
1999,-0.58,0.79,5.98,12.83,16.55,21.84,25.20,25.77,22.59,14.38,8.32,0.76,0.87,11.79,24.27,15.10,13.01
2000,-3.02,-1.81,5.75,11.28,16.24,22.15,25.93,26.08,21.13,15.11,7.06,0.64,-1.36,11.09,24.72,14.43,12.22
2001,-4.60,-0.81,4.71,12.48,18.18,21.93,25.20,26.20,999.90,999.90,7.52,-0.50,-1.59,11.79,24.44,999.90,12.42
2002,0.31,2.41,7.51,999.90,17.43,20.61,24.02,23.27,999.90,14.24,3.57,0.84,0.74,12.65,22.63,12.22,12.06
2003,-3.31,2.50,5.09,12.41,17.01,20.10,22.71,23.76,21.38,15.56,9.02,0.90,0.01,11.50,22.19,15.32,12.26
2004,-1.54,2.60,6.44,11.85,15.89,21.66,23.35,25.04,21.20,15.77,9.11,2.06,0.65,11.39,23.35,15.36,12.69
2005,-0.82,-0.95,5.79,13.87,18.30,22.31,23.94,25.51,22.12,15.06,9.11,-3.42,0.10,12.65,23.92,15.43,13.03
